time,android.sensor.accelerometer#mean,android.sensor.accelerometer#min,android.sensor.accelerometer#max,android.sensor.accelerometer#std,android.sensor.gyroscope#mean,android.sensor.gyroscope#min,android.sensor.gyroscope#max,android.sensor.gyroscope#std,sound#mean,sound#min,sound#max,sound#std
38.0,9.80099391346,8.70254218975,10.9004295375,0.671190087586,0.124458588145,0.0167040747612,0.533223214472,0.108604269549,89.8084408315,89.8084408315,89.8084408315,0.0101714372632
16.0,10.1374838297,6.890870336939999,14.074199241,1.6974320725299998,0.0340053988705,0.0193558505934,0.0486549471477,0.0207175898562,0.0,0.0,0.0,0.0
429.0,9.81771486855,9.77220921162,9.85682465892,0.0164371794641,0.0016212593231,0.0,0.003690184475,0.0007712550012,0.0,0.0,0.0,0.0
120.0,9.91162452829,6.983941768360001,12.6460372329,1.5778953370299995,0.0595680006761,0.0218833418433,0.183231677701,0.0482863974999,84.9444180153,83.0799537339,86.80888229680002,2.63675067342
72.0,9.83007063151,7.634475277460001,12.5535137481,0.67540031663,0.0,0.0,0.0,0.0,69.0729786253,65.2963564602,72.2937268456,3.53164904253
86.0,9.538415736989998,9.4605135231,9.63637175552,0.0319410932214,0.0,0.0,0.0,0.0,35.7065967002,35.7065967002,35.7065967002,1.54353588919
46.0,12.9426508269,3.77565948443,20.4462378272,5.22659162726,2.10623356042,0.515117870336,4.60585348448,1.03191135756,86.14445673510002,85.9201333863,86.368780084,0.317241122322
9.0,9.32325679084,5.771120408840001,11.7263698895,1.84786574783,0.234625344808,0.0611175331973,0.7840532897939999,0.130022774796,89.76509011270002,89.76509011270002,89.76509011270002,0.0
101.0,9.8329572837,7.39700340987,13.4285147419,1.26802184368,0.105903671429,0.105903671429,0.105903671429,0.0253615979924,87.35345345409998,87.35345345409998,87.35345345409998,0.951800966184
203.0,10.1914068747,9.93210036898,10.7353113759,0.229504066905,0.0202616312709,0.00501705647145,0.0701748392242,0.0140314882004,89.7540772633,89.7540772633,89.7540772633,0.00119770894759
183.0,10.4953318626,9.091095897,12.381295907,1.0592678831,0.0986693089991,0.0119214898856,0.2071713458,0.0493185800672,89.7552074291,89.7552074291,89.7552074291,0.0912026328757
61.0,10.2148531691,9.17106118872,14.6993466662,0.7781593392720001,0.0,0.0,0.0,0.0,59.3415946829,59.3415946829,59.3415946829,4.54882543874
12.0,9.89173266613,5.824825389909999,13.4374874487,1.7474341604,0.163445445284,0.0435196706344,0.7044822209839999,0.171946658254,84.4241103535,84.4241103535,84.4241103535,3.18172080817
9.0,9.90106418355,7.740293800599999,11.9906401883,0.932249072405,0.0931568277136,0.0773944806493,0.108919174778,0.0222913249932,84.3538892041,84.3538892041,84.3538892041,0.0
